Date,Customer,Amount,Status
2026-02-01,Tech Solutions Inc,15000,Paid
2026-02-02,Rapid Logistics,4500,Pending
2026-02-03,Alpha Corp,120000,Paid
2026-02-04,Beta Industries,7500,Overdue
2026-01-28,Gamma Systems,32000,Paid
2026-01-25,Delta Services,8900,Pending
2026-01-15,Epsilon Traders,54000,Paid
2026-01-10,Zeta Global,2100,Paid
2026-01-05,Eta Manufacturing,98000,Unpaid
2025-12-20,Theta Consulting,11000,Paid
2025-12-15,Iota Design,6700,Paid
2025-11-30,Kappa constructions,250000,Paid
2025-10-10,Lambda Retail,3400,Refunded
2025-06-15,Mu Marketing,1500,Paid
2025-01-01,Nu Ventures,500000,Paid
2026-02-04,John Doe,250,Paid
2026-02-03,Jane Smith,500,Pending
2026-01-20,Local Shop A,1200,Paid
2026-01-18,Local Shop B,3500,Paid
2026-02-01,StartUp Hub,100000,Pending
2025-08-12,Summer Events,12500,Paid
2025-07-20,Monsoon Traders,8000,Paid
2025-05-05,Spring Corp,45000,Paid
2025-03-15,Early Bird Inc,3000,Paid
2025-02-28,Leap Year Ltd,29000,Paid
2024-12-25,Holiday Gifts,5000,Paid
2026-01-30,Salary Advance,15000,Paid
2026-02-02,Office Supplies,2000,Paid
2026-01-12,Internet Bill,1500,Paid
2026-01-05,Rent Payment,25000,Paid
2025-11-10,Consulting Fee,50000,Paid
2025-10-01,Yearly Subscription,12000,Paid
2026-02-04,Daily Expenses,500,Paid
2026-02-03,Travel Reimbursement,4500,Pending
2026-01-22,Client Dinner,3000,Paid
2026-01-15,Software License,8000,Paid
2025-09-10,Hardware Purchase,65000,Paid
2025-08-01,Marketing Campaign,120000,Paid
2025-04-10,Tax Payment,45000,Paid
2024-11-11,Old Project X,100000,Paid
2024-10-20,Old Project Y,55000,Paid
2026-02-04,Urgent Repairs,2500,Pending
2026-01-29,Vendor A,11000,Paid
2026-01-14,Vendor B,9500,Paid
2025-12-05,Vendor C,13000,Paid
2025-11-20,Vendor D,10500,Paid
2026-02-01,New Client X,20000,Pending
2026-02-02,New Client Y,35000,Pending
2026-01-10,Lost Refund,500,Refunded
2025-01-15,Bad Debt,10000,Unpaid
